name,ip,status,latency,datetime
Gateway,192.168.200.1,1,7.02,2023-11-04 15:04:09
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:04:14
Gateway,192.168.200.1,1,1.58,2023-11-04 15:04:14
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:19
Gateway,192.168.200.1,1,23.8,2023-11-04 15:04:19
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:24
Gateway,192.168.200.1,1,1.56,2023-11-04 15:04:24
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:29
Gateway,192.168.200.1,1,1.37,2023-11-04 15:04:29
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:34
Gateway,192.168.200.1,1,2.04,2023-11-04 15:04:34
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:39
Gateway,192.168.200.1,1,1.57,2023-11-04 15:04:39
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:04:44
Gateway,192.168.200.1,1,7.77,2023-11-04 15:04:44
LocalHost,127.0.0.1,1,0.37,2023-11-04 15:04:53
Gateway,192.168.200.1,1,2.57,2023-11-04 15:04:53
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:04:58
Gateway,192.168.200.1,1,1.62,2023-11-04 15:04:58
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:04
Gateway,192.168.200.1,1,44.54,2023-11-04 15:05:04
LocalHost,127.0.0.1,1,0.07,2023-11-04 15:05:09
Gateway,192.168.200.1,1,5.3,2023-11-04 15:05:09
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:14
Gateway,192.168.200.1,1,4.59,2023-11-04 15:05:14
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:19
Gateway,192.168.200.1,1,5.42,2023-11-04 15:05:19
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:24
Gateway,192.168.200.1,1,4.39,2023-11-04 15:05:24
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:29
Gateway,192.168.200.1,1,5.54,2023-11-04 15:05:29
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:05:34
Gateway,192.168.200.1,1,6.49,2023-11-04 15:05:34
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:07:05
Gateway,192.168.200.1,1,1.55,2023-11-04 15:07:05
LocalHost,127.0.0.1,1,0.06,2023-11-04 15:09:29
Gateway,192.168.200.1,1,4.5,2023-11-04 15:09:29
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:09:34
Gateway,192.168.200.1,1,1.63,2023-11-04 15:09:34
LocalHost,127.0.0.1,1,0.09,2023-11-04 15:09:48
Gateway,192.168.200.1,1,5.4,2023-11-04 15:09:48
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:09:53
Gateway,192.168.200.1,1,52.13,2023-11-04 15:09:53
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:09:58
Gateway,192.168.200.1,1,5.86,2023-11-04 15:09:58
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:10:03
Gateway,192.168.200.1,1,1.64,2023-11-04 15:10:03
LocalHost,127.0.0.1,1,0.09,2023-11-04 15:10:08
Gateway,192.168.200.1,1,9.58,2023-11-04 15:10:08
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:10:13
Gateway,192.168.200.1,1,5.02,2023-11-04 15:10:13
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:10:18
Gateway,192.168.200.1,1,12.57,2023-11-04 15:10:18
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:10:23
Gateway,192.168.200.1,1,1.63,2023-11-04 15:10:23
LocalHost,127.0.0.1,1,0.12,2023-11-04 15:11:21
Gateway,192.168.200.1,1,24.67,2023-11-04 15:11:21
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:11:26
Gateway,192.168.200.1,1,1.95,2023-11-04 15:11:26
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:11:31
Gateway,192.168.200.1,1,1.62,2023-11-04 15:11:31
LocalHost,127.0.0.1,1,0.05,2023-11-04 15:11:36
Gateway,192.168.200.1,1,6.17,2023-11-04 15:11:36
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:11:41
Gateway,192.168.200.1,1,1.54,2023-11-04 15:11:41
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:11:46
Gateway,192.168.200.1,1,4.87,2023-11-04 15:11:46
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:11:51
Gateway,192.168.200.1,1,1.9,2023-11-04 15:11:51
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:11:56
Gateway,192.168.200.1,1,2.0,2023-11-04 15:11:56
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:12:01
Gateway,192.168.200.1,1,1.53,2023-11-04 15:12:01
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:12:06
Gateway,192.168.200.1,1,1.62,2023-11-04 15:12:06
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:12:11
Gateway,192.168.200.1,1,44.64,2023-11-04 15:12:11
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:12:16
Gateway,192.168.200.1,1,1.8,2023-11-04 15:12:16
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:12:21
Gateway,192.168.200.1,1,2.11,2023-11-04 15:12:21
LocalHost,127.0.0.1,1,0.07,2023-11-04 15:12:26
Gateway,192.168.200.1,1,1.82,2023-11-04 15:12:26
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:12:31
Gateway,192.168.200.1,1,8.6,2023-11-04 15:12:31
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:12:36
Gateway,192.168.200.1,1,3.09,2023-11-04 15:12:36
LocalHost,127.0.0.1,1,0.06,2023-11-04 15:12:41
Gateway,192.168.200.1,1,49.94,2023-11-04 15:12:41
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:12:46
Gateway,192.168.200.1,1,1.63,2023-11-04 15:12:46
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:12:52
Gateway,192.168.200.1,1,1.36,2023-11-04 15:12:52
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:12:57
Gateway,192.168.200.1,1,1.39,2023-11-04 15:12:57
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:13:02
Gateway,192.168.200.1,1,2.07,2023-11-04 15:13:02
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:13:07
